Example,Time (days),Filter,Magnitude,Uncertainty
4,1.6885714285714286,ztfg,22.587828,0.2616194
4,1.6885714285714286,ztfr,21.458685,0.30302194
4,1.6885714285714286,ztfi,21.347342,0.30046222
4,1.8871428571428572,ztfg,22.96348,0.26637825
4,1.8871428571428572,ztfr,21.850874,0.29733387
4,1.8871428571428572,ztfi,21.513794,0.28900623
4,2.085714285714286,ztfg,23.186007,0.271456
4,2.085714285714286,ztfr,22.128551,0.29950923
4,2.085714285714286,ztfi,21.550852,0.2858811
4,2.2842857142857143,ztfg,23.583595,0.27354962
4,2.2842857142857143,ztfr,22.329105,0.29545262
4,2.2842857142857143,ztfi,21.816149,0.2916307
4,2.4828571428571427,ztfg,23.894306,0.28995448
4,2.4828571428571427,ztfr,22.423563,0.29472056
4,2.4828571428571427,ztfi,21.923891,0.2919441
4,2.6814285714285715,ztfg,23.975836,0.29538274
4,2.6814285714285715,ztfr,22.521471,0.29799813
4,2.6814285714285715,ztfi,21.891605,0.30138662
4,2.88,ztfg,24.122381,0.30211055
4,2.88,ztfr,22.763815,0.30428067
4,2.88,ztfi,22.406677,0.3027278
4,3.0785714285714287,ztfg,24.53252,0.30440393
4,3.0785714285714287,ztfr,23.0996,0.30681503
4,3.0785714285714287,ztfi,22.482426,0.29949346
4,3.277142857142857,ztfg,24.883766,0.30816743
4,3.277142857142857,ztfr,23.271873,0.30326545
4,3.277142857142857,ztfi,22.389267,0.30855617
4,3.4757142857142855,ztfg,25.250906,0.30510348
4,3.4757142857142855,ztfr,23.371473,0.30357325
4,3.4757142857142855,ztfi,22.696884,0.31194764
4,3.6742857142857144,ztfg,25.406277,0.3099772
4,3.6742857142857144,ztfr,23.688404,0.29745048
4,3.6742857142857144,ztfi,22.698017,0.31581098
4,3.8728571428571428,ztfg,25.394123,0.3033163
4,3.8728571428571428,ztfr,23.787523,0.30124342
4,3.8728571428571428,ztfi,23.065687,0.3075371
4,4.071428571428571,ztfg,25.91372,0.3204677
4,4.071428571428571,ztfr,24.056616,0.30317077
4,4.071428571428571,ztfi,23.195723,0.3090262
4,4.27,ztfg,25.936676,0.31496316
4,4.27,ztfr,23.907816,0.3062501
4,4.27,ztfi,23.136086,0.32157803
4,4.468571428571428,ztfg,26.070223,0.32508668
4,4.468571428571428,ztfr,24.18503,0.3068442
4,4.468571428571428,ztfi,23.348581,0.3195196
4,4.667142857142856,ztfg,26.253706,0.31502545
4,4.667142857142856,ztfr,24.23715,0.30619982
4,4.667142857142856,ztfi,23.433525,0.31990433
4,4.865714285714285,ztfg,26.498257,0.31394953
4,4.865714285714285,ztfr,24.254145,0.31170452
4,4.865714285714285,ztfi,23.68369,0.31242856
4,5.064285714285714,ztfg,26.59788,0.32178044
4,5.064285714285714,ztfr,24.564043,0.30225262
4,5.064285714285714,ztfi,23.66105,0.32576925
4,5.2628571428571425,ztfg,26.7791,0.30980566
4,5.2628571428571425,ztfr,24.706976,0.31288505
4,5.2628571428571425,ztfi,23.727648,0.3243081
4,5.461428571428571,ztfg,27.185726,0.299326
4,5.461428571428571,ztfr,24.838198,0.306878
4,5.461428571428571,ztfi,23.734869,0.32683432
4,5.659999999999999,ztfg,27.136112,0.31124878
4,5.659999999999999,ztfr,24.924057,0.3088922
4,5.659999999999999,ztfi,23.851505,0.32550475
4,5.858571428571428,ztfg,27.45445,0.30594888
4,5.858571428571428,ztfr,24.987839,0.30651224
4,5.858571428571428,ztfi,23.807203,0.329893
4,6.057142857142857,ztfg,27.61297,0.30096915
4,6.057142857142857,ztfr,25.317995,0.30359745
4,6.057142857142857,ztfi,24.015873,0.32391658
4,6.255714285714285,ztfg,27.968096,0.2974084
4,6.255714285714285,ztfr,25.335466,0.30268094
4,6.255714285714285,ztfi,24.30395,0.32027695
4,6.454285714285714,ztfg,28.059904,0.29513177
4,6.454285714285714,ztfr,25.420134,0.31130224
4,6.454285714285714,ztfi,24.44832,0.32030106
4,6.652857142857142,ztfg,27.970163,0.29998693
4,6.652857142857142,ztfr,25.612558,0.30909017
4,6.652857142857142,ztfi,24.480879,0.3278838
4,6.8514285714285705,ztfg,28.171816,0.30784258
4,6.8514285714285705,ztfr,25.814047,0.30515438
4,6.8514285714285705,ztfi,24.505299,0.33376184
4,7.05,ztfg,28.254026,0.29739237
4,7.05,ztfr,25.981781,0.30307814
4,7.05,ztfi,24.814909,0.32047072
4,7.248571428571428,ztfg,28.498915,0.29325178
4,7.248571428571428,ztfr,26.008335,0.31337783
4,7.248571428571428,ztfi,24.770243,0.32358912
4,7.447142857142857,ztfg,28.528603,0.28796002
